"МО (КОД)","МО (НАИМЕН.)","СМО (код)","СМО (наим.)","Кол-во счетов","Сумма"
"01023","МБУЗ ""Амбулатория №8 УЗАМО город-курорт Анапа""","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","36","1 618,18"
"01023","МБУЗ ""Амбулатория №8 УЗАМО город-курорт Анапа""","1707","Краснодарский филиал ООО ВТБ МС","282","42 832,00"
"01023","МБУЗ ""Амбулатория №8 УЗАМО город-курорт Анапа""","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","2 692","274 853,92"
"01025","МБУЗ ""Амбулатория №1 УЗАМО город-курорт Анапа""","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","11 418","1 600 200,46"
"01025","МБУЗ ""Амбулатория №1 УЗАМО город-курорт Анапа""","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","68","870,90"
"01025","МБУЗ ""Амбулатория №1 УЗАМО город-курорт Анапа""","1707","Краснодарский филиал ООО ВТБ МС","942","18 982,28"
"01025","МБУЗ ""Амбулатория №1 УЗАМО город-курорт Анапа""","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","2 040","79 204,84"
"01026","МБУЗ ""Амбулатория №4 УЗАМО город-курорт Анапа""","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","3 570","518 124,22"
"01026","МБУЗ ""Амбулатория №4 УЗАМО город-курорт Анапа""","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","42","8 291,32"
"01026","МБУЗ ""Амбулатория №4 УЗАМО город-курорт Анапа""","1707","Краснодарский филиал ООО ВТБ МС","188","15 744,86"
"01026","МБУЗ ""Амбулатория №4 УЗАМО город-курорт Анапа""","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","624","154 454,00"
"01027","МБУЗ ""Амбулатория №6 УЗАМО город-курорт Анапа""","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","3 828","497 265,34"
"01027","МБУЗ ""Амбулатория №6 УЗАМО город-курорт Анапа""","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","14","0,00"
"01027","МБУЗ ""Амбулатория №6 УЗАМО город-курорт Анапа""","1707","Краснодарский филиал ООО ВТБ МС","454","50 749,66"
"01027","МБУЗ ""Амбулатория №6 УЗАМО город-курорт Анапа""","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","1 044","120 289,88"
"01028","МБУЗ ""Амбулатория №7 УЗАМО город-курорт Анапа""","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","5 478","520 237,24"
"01028","МБУЗ ""Амбулатория №7 УЗАМО город-курорт Анапа""","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","20","0,00"
"01028","МБУЗ ""Амбулатория №7 УЗАМО город-курорт Анапа""","1707","Краснодарский филиал ООО ВТБ МС","512","27 662,80"
"01028","МБУЗ ""Амбулатория №7 УЗАМО город-курорт Анапа""","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","1 460","41 266,00"
"01029","МБУЗ ""Участковая больница №1 УЗАМО город-курорт Анапа""","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","3 970","1 890 939,16"
"01029","МБУЗ ""Участковая больница №1 УЗАМО город-курорт Анапа""","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","14","0,00"
"01029","МБУЗ ""Участковая больница №1 УЗАМО город-курорт Анапа""","1707","Краснодарский филиал ООО ВТБ МС","474","283 184,24"
"01029","МБУЗ ""Участковая больница №1 УЗАМО город-курорт Анапа""","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","840","699 809,56"
"01030","МБУЗ ""Участковая больница №2 УЗАМО город-курорт Анапа""","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","3 092","1 399 284,76"
"01030","МБУЗ ""Участковая больница №2 УЗАМО город-курорт Анапа""","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","10","24 753,80"
"01030","МБУЗ ""Участковая больница №2 УЗАМО город-курорт Анапа""","1707","Краснодарский филиал ООО ВТБ МС","792","139 645,48"
"01030","МБУЗ ""Участковая больница №2 УЗАМО город-курорт Анапа""","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","958","652 363,96"
"01031","МБУЗ ""Участковая больница №3 УЗАМО город-курорт Анапа""","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","5 666","2 467 682,58"
"01031","МБУЗ ""Участковая больница №3 УЗАМО город-курорт Анапа""","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","18","1 192,00"
"01031","МБУЗ ""Участковая больница №3 УЗАМО город-курорт Анапа""","1707","Краснодарский филиал ООО ВТБ МС","710","377 848,48"
"01031","МБУЗ ""Участковая больница №3 УЗАМО город-курорт Анапа""","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","1 410","280 755,50"
"01520","МБУЗ ""Станция скорой медицинской помощи УЗАМО город-курорт Анапа""","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","8 200","0,00"
"01520","МБУЗ ""Станция скорой медицинской помощи УЗАМО город-курорт Анапа""","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","94","0,00"
"01520","МБУЗ ""Станция скорой медицинской помощи УЗАМО город-курорт Анапа""","1707","Краснодарский филиал ООО ВТБ МС","934","0,00"
"01520","МБУЗ ""Станция скорой медицинской помощи УЗАМО город-курорт Анапа""","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","2 134","0,00"
"01521","АО ""Санаторий ""Мотылек""","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","96","5 728 734,72"
"01521","АО ""Санаторий ""Мотылек""","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","8","477 394,56"
"01521","АО ""Санаторий ""Мотылек""","1707","Краснодарский филиал ООО ВТБ МС","10","596 743,20"
"01521","АО ""Санаторий ""Мотылек""","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","18","1 074 137,76"
"01522","АО ""ДиЛУЧ"" - санаторно-курортный комплекс город-курорт Анапа","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","48","2 196 620,66"
"01522","АО ""ДиЛУЧ"" - санаторно-курортный комплекс город-курорт Анапа","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","8","374 858,88"
"01522","АО ""ДиЛУЧ"" - санаторно-курортный комплекс город-курорт Анапа","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","2","93 714,72"
"02002","ГБУЗ ""Стоматологическая поликлиника города  Армавира"" МЗКК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","3 316","4 522 254,30"
"02002","ГБУЗ ""Стоматологическая поликлиника города  Армавира"" МЗКК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","10","23 115,56"
"02002","ГБУЗ ""Стоматологическая поликлиника города  Армавира"" МЗКК","1707","Краснодарский филиал ООО ВТБ МС","576","836 487,76"
"02002","ГБУЗ ""Стоматологическая поликлиника города  Армавира"" МЗКК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","2","12 626,86"
"02006","ГБУЗ Армавирский кожно-венерологический диспансер МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","3 842","4 446 833,66"
"02006","ГБУЗ Армавирский кожно-венерологический диспансер МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","24","42 151,46"
"02006","ГБУЗ Армавирский кожно-венерологический диспансер МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","704","884 251,18"
"02006","ГБУЗ Армавирский кожно-венерологический диспансер МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","18","7 149,68"
"02010","ГБУЗ ""Перинатальный центр"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","8 470","26 146 994,66"
"02010","ГБУЗ ""Перинатальный центр"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","120","398 836,46"
"02010","ГБУЗ ""Перинатальный центр"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","1 784","5 079 098,64"
"02010","ГБУЗ ""Перинатальный центр"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","78","345 952,68"
"02013","ГБУЗ ""Армавирский онкологический диспансер"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","6 516","25 587 079,36"
"02013","ГБУЗ ""Армавирский онкологический диспансер"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","16","8 061,36"
"02013","ГБУЗ ""Армавирский онкологический диспансер"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","1 442","5 649 921,58"
"02013","ГБУЗ ""Армавирский онкологический диспансер"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","38","231 818,98"
"02014","ГБУЗ ""Детская больница г. Армавира"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","24 392","18 328 955,20"
"02014","ГБУЗ ""Детская больница г. Армавира"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","36","322 694,30"
"02014","ГБУЗ ""Детская больница г. Армавира"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","1 474","2 605 693,90"
"02014","ГБУЗ ""Детская больница г. Армавира"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","4","53 812,98"
"02017","ГБУЗ "" Инфекционная больница  №4"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","1 444","14 816 865,66"
"02017","ГБУЗ "" Инфекционная больница  №4"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","10","81 162,62"
"02017","ГБУЗ "" Инфекционная больница  №4"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","296","3 091 521,40"
"02017","ГБУЗ "" Инфекционная больница  №4"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","8","63 523,10"
"02031","НУЗ ""Узловая поликлиника на станции Армавир ОАО ""РЖД""","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","810","750 462,74"
"02031","НУЗ ""Узловая поликлиника на станции Армавир ОАО ""РЖД""","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","54","125 651,60"
"02031","НУЗ ""Узловая поликлиника на станции Армавир ОАО ""РЖД""","1707","Краснодарский филиал ООО ВТБ МС","234","288 553,86"
"02501","ГБУЗ ""Станция скорой медицинской помощи г. Армавира"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","9 436","0,00"
"02501","ГБУЗ ""Станция скорой медицинской помощи г. Армавира"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","96","0,00"
"02501","ГБУЗ ""Станция скорой медицинской помощи г. Армавира"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","1 648","0,00"
"02501","ГБУЗ ""Станция скорой медицинской помощи г. Армавира"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","46","0,00"
"02503","ГБУЗ ""Городская больница города  Армавира"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","64 776","59 057 038,64"
"02503","ГБУЗ ""Городская больница города  Армавира"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","948","1 045 049,32"
"02503","ГБУЗ ""Городская больница города  Армавира"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","13 986","27 740 054,30"
"02503","ГБУЗ ""Городская больница города  Армавира"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","168","807 017,56"
"02511","ГБУЗ ""Армавирский центр общественного здоровья и медицинской профилактики"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","162","175 089,44"
"02511","ГБУЗ ""Армавирский центр общественного здоровья и медицинской профилактики"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","12","12 786,48"
"02513","ГБУЗ ""Детская стоматологическая поликлиника города Армавира"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","4 154","4 055 671,46"
"02513","ГБУЗ ""Детская стоматологическая поликлиника города Армавира"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","28","29 953,52"
"02513","ГБУЗ ""Детская стоматологическая поликлиника города Армавира"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","708","640 677,74"
"02513","ГБУЗ ""Детская стоматологическая поликлиника города Армавира"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","14","16 313,08"
"03005","НУЗ ""Узловая больница на станции Белореченская ОАО  ""РЖД""","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","634","591 131,30"
"03005","НУЗ ""Узловая больница на станции Белореченская ОАО  ""РЖД""","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","54","84 038,68"
"03005","НУЗ ""Узловая больница на станции Белореченская ОАО  ""РЖД""","1707","Краснодарский филиал ООО ВТБ МС","190","198 176,44"
"03005","НУЗ ""Узловая больница на станции Белореченская ОАО  ""РЖД""","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","8","25 087,06"
"03025","ГБУЗ ""Белореченская центральная районная больница"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","72 672","42 975 467,28"
"03025","ГБУЗ ""Белореченская центральная районная больница"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","6 982","2 388 240,78"
"03025","ГБУЗ ""Белореченская центральная районная больница"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","13 400","6 725 712,08"
"03025","ГБУЗ ""Белореченская центральная районная больница"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","512","319 065,88"
"03573","ГБУЗ ""Белореченская стоматологическая поликлиника"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","2 590","2 146 544,54"
"03573","ГБУЗ ""Белореченская стоматологическая поликлиника"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","180","161 639,36"
"03573","ГБУЗ ""Белореченская стоматологическая поликлиника"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","458","392 728,34"
"03573","ГБУЗ ""Белореченская стоматологическая поликлиника"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","10","7 058,20"
"04001","ГБУЗ ""Городская больница города-курорта Геленджик"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","17 396","26 144 262,80"
"04001","ГБУЗ ""Городская больница города-курорта Геленджик"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","10 636","13 782 191,92"
"04001","ГБУЗ ""Городская больница города-курорта Геленджик"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","110","437 678,32"
"04001","ГБУЗ ""Городская больница города-курорта Геленджик"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","4 840","8 882 980,28"
"04007","ГБУЗ ""Городская поликлиника города-курорта Геленджик"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","23 484","4 347 768,66"
"04007","ГБУЗ ""Городская поликлиника города-курорта Геленджик"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","15 984","2 764 778,86"
"04007","ГБУЗ ""Городская поликлиника города-курорта Геленджик"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","160","22 211,58"
"04007","ГБУЗ ""Городская поликлиника города-курорта Геленджик"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","8 954","1 487 957,42"
"04037","ГБУЗ ""Станция скорой медицинской помощи города-курорта Геленджик"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","3 626","0,00"
"04037","ГБУЗ ""Станция скорой медицинской помощи города-курорта Геленджик"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","1 962","0,00"
"04037","ГБУЗ ""Станция скорой медицинской помощи города-курорта Геленджик"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","22","0,00"
"04037","ГБУЗ ""Станция скорой медицинской помощи города-курорта Геленджик"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","1 106","0,00"
"04040","СКК ""Вулан""  - научно-клинический филиал федерального государственного бюджетного учреждения ""Национальный медицинский исследовательский центр реабилитации и курортологии"" Минздрава России","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","48","2 088 590,60"
"04040","СКК ""Вулан""  - научно-клинический филиал федерального государственного бюджетного учреждения ""Национальный медицинский исследовательский центр реабилитации и курортологии"" Минздрава России","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","10","405 937,96"
"04040","СКК ""Вулан""  - научно-клинический филиал федерального государственного бюджетного учреждения ""Национальный медицинский исследовательский центр реабилитации и курортологии"" Минздрава России","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","2","130 199,08"
"04058","ЗАО ЛОК ""Солнечная""","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","4","198 914,40"
"04059","ОАО Санаторий ""Красная Талка""","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","74","3 822 988,92"
"04059","ОАО Санаторий ""Красная Талка""","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","34","1 617 473,44"
"04059","ОАО Санаторий ""Красная Талка""","1707","Краснодарский филиал ООО ВТБ МС","10","545 834,68"
"04059","ОАО Санаторий ""Красная Талка""","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","20","972 200,96"
"04061","ГБУЗ ""Стоматологическая поликлиника города-курорта Геленджик"" министерства здравоохранения Краснодарского края","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","2 606","1 723 128,44"
"04061","ГБУЗ ""Стоматологическая поликлиника города-курорта Геленджик"" министерства здравоохранения Краснодарского края","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","1 602","1 043 313,08"
"04061","ГБУЗ ""Стоматологическая поликлиника города-курорта Геленджик"" министерства здравоохранения Краснодарского края","1707","Краснодарский филиал ООО ВТБ МС","16","10 877,86"
"04061","ГБУЗ ""Стоматологическая поликлиника города-курорта Геленджик"" министерства здравоохранения Краснодарского края","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","904","589 262,26"
"05001","ГБУЗ ""Городская больница г. Горячий Ключ"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","24 030","37 164 359,60"
"05001","ГБУЗ ""Городская больница г. Горячий Ключ"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","152","299 626,14"
"05001","ГБУЗ ""Городская больница г. Горячий Ключ"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","68","718 649,10"
"05001","ГБУЗ ""Городская больница г. Горячий Ключ"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","6 872","6 196 303,20"
"05027","ГБУЗ ""Стоматологическая поликлиника г.Горячий Ключ"" МЗКК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","1 256","1 508 100,40"
"05027","ГБУЗ ""Стоматологическая поликлиника г.Горячий Ключ"" МЗКК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","20","43 295,80"
"05027","ГБУЗ ""Стоматологическая поликлиника г.Горячий Ключ"" МЗКК","1707","Краснодарский филиал ООО ВТБ МС","4","7 039,38"
"05027","ГБУЗ ""Стоматологическая поликлиника г.Горячий Ключ"" МЗКК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","558","632 381,22"
"06008","Государственное бюджетное учреждение  здравоохранения ""Ейская центральная районная больница"" министерства здравоохранения Краснодарского края","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","79 778","76 126 648,40"
"06008","Государственное бюджетное учреждение  здравоохранения ""Ейская центральная районная больница"" министерства здравоохранения Краснодарского края","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","174","39 449,14"
"06008","Государственное бюджетное учреждение  здравоохранения ""Ейская центральная районная больница"" министерства здравоохранения Краснодарского края","1707","Краснодарский филиал ООО ВТБ МС","25 304","26 162 841,74"
"06008","Государственное бюджетное учреждение  здравоохранения ""Ейская центральная районная больница"" министерства здравоохранения Краснодарского края","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","10 256","8 371 410,06"
"06031","ГБУЗ  Ейский кожно-венерологический диспансер  МЗ  КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","1 528","1 549 552,40"
"06031","ГБУЗ  Ейский кожно-венерологический диспансер  МЗ  КК","1707","Краснодарский филиал ООО ВТБ МС","822","598 789,64"
"06031","ГБУЗ  Ейский кожно-венерологический диспансер  МЗ  КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","150","77 547,28"
"06500","Государственное бюджетное учреждения здравоохранения ""Стоматологическая поликлиника Ейского района"" министерства здравоохранения Краснодарского края","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","3 638","3 478 715,22"
"06500","Государственное бюджетное учреждения здравоохранения ""Стоматологическая поликлиника Ейского района"" министерства здравоохранения Краснодарского края","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","8","5 871,60"
"06500","Государственное бюджетное учреждения здравоохранения ""Стоматологическая поликлиника Ейского района"" министерства здравоохранения Краснодарского края","1707","Краснодарский филиал ООО ВТБ МС","1 786","1 726 018,54"
"06500","Государственное бюджетное учреждения здравоохранения ""Стоматологическая поликлиника Ейского района"" министерства здравоохранения Краснодарского края","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","744","561 504,18"
"06513","ГБУЗ  Онкологический диспансер №4 МЗ КК   г. Ейск","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","1 056","8 260 053,80"
"06513","ГБУЗ  Онкологический диспансер №4 МЗ КК   г. Ейск","1707","Краснодарский филиал ООО ВТБ МС","564","4 963 433,22"
"06513","ГБУЗ  Онкологический диспансер №4 МЗ КК   г. Ейск","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","72","409 445,90"
"06541","Ейская поликлиника  ФГБУЗ ""Южный окружной медицинский центр ФМБА ""","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","804","456 413,46"
"06541","Ейская поликлиника  ФГБУЗ ""Южный окружной медицинский центр ФМБА ""","1707","Краснодарский филиал ООО ВТБ МС","352","222 962,84"
"06541","Ейская поликлиника  ФГБУЗ ""Южный окружной медицинский центр ФМБА ""","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","18","7 461,76"
"07001","ГБУЗ ""Городская поликлиника № 25 г. Краснодара"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","9 644","1 676 100,66"
"07001","ГБУЗ ""Городская поликлиника № 25 г. Краснодара"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","17 878","2 967 061,86"
"07001","ГБУЗ ""Городская поликлиника № 25 г. Краснодара"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","554","123 693,32"
"07001","ГБУЗ ""Городская поликлиника № 25 г. Краснодара"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","594","130 306,32"
"07003","ГБУЗ ""Специализированная клиническая детская инфекционная больница"" МЗ КК г.Краснодар","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","4 758","69 257 043,16"
"07003","ГБУЗ ""Специализированная клиническая детская инфекционная больница"" МЗ КК г.Краснодар","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","1 278","19 226 487,70"
"07003","ГБУЗ ""Специализированная клиническая детская инфекционная больница"" МЗ КК г.Краснодар","1707","Краснодарский филиал ООО ВТБ МС","370","5 454 981,80"
